HAddress,HAttractions,HGFW,HImages,HLanguage,HName,HPMax,HPMin,HPRange,HQuestions,HRImages,HRNumber,HRank,HRankreview,HRating,HRestaurants,HReview,HRoom,HStyles,HVideos,URL
"33 Tay Son Street, Truong An, Hue Vietnam",5,45,N/A,"English, Vietnamese",Kim Chi Hotel,N/A,N/A,N/A,"Which popular attractions are close to Kim Chi Hotel?, ,What are some of the property amenities at Kim Chi Hotel?, ,Is parking available at Kim Chi Hotel?, ,What are some restaurants close to Kim Chi Hotel?, ,Does Kim Chi Hotel have an airport shuttle?, ,Does Kim Chi Hotel have airport transportation?, ,Are any cleaning services offered at Kim Chi Hotel?, ,Are pets allowed at Kim Chi Hotel?, ,Which languages are spoken by the staff at Kim Chi Hotel?, ",N/A,0,N/A,0,N/A,12,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12913606-Reviews-Kim_Chi_Hotel-Hue_Thua_Thien_Hue_Province.html
"18/16 Hai Ba Trung, Hue Vietnam",6,88,38,N/A,Binh An Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Binh An Guesthouse?, ,What are some restaurants close to Binh An Guesthouse?, ,Is Binh An Guesthouse located near the city center?, ",29,2,#24 of 34 lodges in Hue,3.5,N/A,34,Very good,8,N/A,29,https://www.tripadvisor.com/Hotel_Review-g293926-d7377882-Reviews-Binh_An_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"42/4 Le Loi, Hue Vietnam",27,94,N/A,N/A,SPOT ON 957 Hue Corner Hostel,N/A,N/A,N/A,"Which popular attractions are close to SPOT ON 957 Hue Corner Hostel?, ,What are some restaurants close to SPOT ON 957 Hue Corner Hostel?, ,Is SPOT ON 957 Hue Corner Hostel located near the city center?, ",N/A,0,N/A,0,N/A,167,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23402343-Reviews-SPOT_ON_957_Hue_Corner_Hostel-Hue_Thua_Thien_Hue_Province.html
"111, Tran Thai Tong, Thuy Xuan, Hue Vietnam",0,0,N/A,N/A,Bach Ma Trekking Hillside Homestay,N/A,N/A,N/A,"Which popular attractions are close to Bach Ma Trekking Hillside Homestay?, ,What are some restaurants close to Bach Ma Trekking Hillside Homestay?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d14987743-Reviews-Bach_Ma_Trekking_Hillside_Homestay-Hue_Thua_Thien_Hue_Province.html
"24 Tran Thuc Nhan Street, Hue Vietnam",4,74,N/A,"English, Vietnamese",Song Cam (Peaceful Bird) Hotel,N/A,N/A,N/A,"Which popular attractions are close to Song Cam (Peaceful Bird) Hotel?, ,What are some of the property amenities at Song Cam (Peaceful Bird) Hotel?, ,Which room amenities are available at Song Cam (Peaceful Bird) Hotel?, ,What food & drink options are available at Song Cam (Peaceful Bird) Hotel?, ,What are some restaurants close to Song Cam (Peaceful Bird) Hotel?, ,Is Song Cam (Peaceful Bird) Hotel located near the city center?, ,Which languages are spoken by the staff at Song Cam (Peaceful Bird) Hotel?, ",N/A,0,N/A,0,N/A,20,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12004911-Reviews-Song_Cam_Peaceful_Bird_Hotel-Hue_Thua_Thien_Hue_Province.html
"9 A Nguyen Cong Tru, Hue 53000 Vietnam",26,92,N/A,"English, Vietnamese",Hong Nhung Guest House,N/A,N/A,N/A,"Which popular attractions are close to Hong Nhung Guest House?, ,Which room amenities are available at Hong Nhung Guest House?, ,What are some restaurants close to Hong Nhung Guest House?, ,Which languages are spoken by the staff at Hong Nhung Guest House?, ",N/A,0,N/A,0,N/A,137,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d11979345-Reviews-Hong_Nhung_Guest_House-Hue_Thua_Thien_Hue_Province.html
"16D Hai Ba Trung, Hue Vietnam",7,91,N/A,N/A,Trang Chau Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Trang Chau Guesthouse?, ,Which room amenities are available at Trang Chau Guesthouse?, ,What are some restaurants close to Trang Chau Guesthouse?, ,Is Trang Chau Guesthouse located near the city center?, ",N/A,2,#31 of 34 lodges in Hue,1.5,N/A,34,Poor,6,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7651445-Reviews-Trang_Chau_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"K14/16 Hai Ba Trung, Hue Vietnam",9,91,N/A,"English, Vietnamese",Anh Khoa Hostel,N/A,N/A,N/A,"Which popular attractions are close to Anh Khoa Hostel?, ,What are some of the property amenities at Anh Khoa Hostel?, ,Is parking available at Anh Khoa Hostel?, ,What are some restaurants close to Anh Khoa Hostel?, ,Does Anh Khoa Hostel have an airport shuttle?, ,Does Anh Khoa Hostel have airport transportation?, ,Is Anh Khoa Hostel located near the city center?, ,Are any cleaning services offered at Anh Khoa Hostel?, ,Which languages are spoken by the staff at Anh Khoa Hostel?, ",N/A,3,#73 of 75 hostels in Hue,2.5,N/A,39,Average,8,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7646668-Reviews-Anh_Khoa_Hostel-Hue_Thua_Thien_Hue_Province.html
"1 Kiet 4 Nguyen Binh Phuong Xuan Phu, Hue Vietnam",1,75,N/A,N/A,Codo Plus Garden,N/A,N/A,N/A,"Which popular attractions are close to Codo Plus Garden?, ,What are some restaurants close to Codo Plus Garden?, ",N/A,0,N/A,0,N/A,16,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21398749-Reviews-Codo_Plus_Garden-Hue_Thua_Thien_Hue_Province.html
"1B Le Viet Luong, Xuan Phu Ward, Hue Vietnam",5,73,N/A,N/A,MyFa House,N/A,N/A,N/A,"Which popular attractions are close to MyFa House?, ,What are some restaurants close to MyFa House?, ",N/A,0,N/A,0,N/A,22,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23357155-Reviews-MyFa_House-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,OYO 718 Nu Hoang Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21160961-Reviews-OYO_718_Nu_Hoang_Hotel-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Hoan Kiem Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,3,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23206335-Reviews-Hoan_Kiem_Hotel-Hue_Thua_Thien_Hue_Province.html
"100 Nguyen Hue, Hue Vietnam",26,94,N/A,N/A,Nguyen Hue Hotel,N/A,N/A,N/A,"Which popular attractions are close to Nguyen Hue Hotel?, ,What are some of the property amenities at Nguyen Hue Hotel?, ,What food & drink options are available at Nguyen Hue Hotel?, ,What are some restaurants close to Nguyen Hue Hotel?, ,Does Nguyen Hue Hotel have airport transportation?, ",N/A,1,#53 of 58 small hotels in Hue,1,N/A,137,Terrible,36,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3227043-Reviews-Nguyen_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html
"2 Kiet 25 Ben Nghe, To 8, Hue 53000 Vietnam",23,94,N/A,N/A,Chic Studio Hue,N/A,N/A,N/A,"Which popular attractions are close to Chic Studio Hue?, ,What are some restaurants close to Chic Studio Hue?, ",N/A,0,N/A,0,N/A,180,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d22843672-Reviews-Chic_Studio_Hue-Hue_Thua_Thien_Hue_Province.html
"27 Dang Thuy Tram, Hue Vietnam",28,56,N/A,N/A,La Luz Del Sol Homestay,N/A,N/A,N/A,"Which popular attractions are close to La Luz Del Sol Homestay?, ,What are some restaurants close to La Luz Del Sol Homestay?, ",N/A,0,N/A,0,N/A,161,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21396773-Reviews-La_Luz_Del_Sol_Homestay-Hue_Thua_Thien_Hue_Province.html
"Le Hong Phong 25 C Le Hong Phong, Phu Nhuan, Hue Vietnam",6,81,N/A,N/A,Buda Homestay,N/A,N/A,N/A,"Which popular attractions are close to Buda Homestay?, ,What are some restaurants close to Buda Homestay?, ",N/A,0,N/A,0,N/A,25,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21305376-Reviews-Buda_Homestay-Hue_Thua_Thien_Hue_Province.html
"39 Tran Thuc Nhan, Hue Vietnam",3,71,N/A,Spanish,Linh Phong Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Linh Phong Guesthouse?, ,What are some restaurants close to Linh Phong Guesthouse?, ,Is Linh Phong Guesthouse located near the city center?, ",N/A,0,N/A,0,N/A,10,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d10052633-Reviews-Linh_Phong_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"Le Dai Hanh 29, Hue Vietnam",5,59,N/A,N/A,Bean Homestay Hue,N/A,N/A,N/A,"Which popular attractions are close to Bean Homestay Hue?, ,What are some restaurants close to Bean Homestay Hue?, ,Is Bean Homestay Hue located near the city center?, ",N/A,0,N/A,0,N/A,31,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23337653-Reviews-Bean_Homestay_Hue-Hue_Thua_Thien_Hue_Province.html
"37 Chu Van An, Hue Vietnam",26,94,N/A,"English, Vietnamese",Mai Lan Hotel,N/A,N/A,N/A,"Which popular attractions are close to Mai Lan Hotel?, ,What are some of the property amenities at Mai Lan Hotel?, ,Which room amenities are available at Mai Lan Hotel?, ,What are some restaurants close to Mai Lan Hotel?, ,Does Mai Lan Hotel have an airport shuttle?, ,Does Mai Lan Hotel have airport transportation?, ,Which languages are spoken by the staff at Mai Lan Hotel?, ",N/A,2,#51 of 58 small hotels in Hue,2,N/A,132,Poor,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6277174-Reviews-Mai_Lan_Hotel-Hue_Thua_Thien_Hue_Province.html
"76 Le Loi Street, Hue Vietnam",26,94,N/A,N/A,Citytour Hotel,N/A,N/A,N/A,"Which popular attractions are close to Citytour Hotel?, ,What are some restaurants close to Citytour Hotel?, ",N/A,0,N/A,0,N/A,138,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7178452-Reviews-Citytour_Hotel-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Lavin Home,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21419758-Reviews-Lavin_Home-Hue_Thua_Thien_Hue_Province.html
"50 Ben Nghe, Hue Vietnam",19,94,N/A,N/A,Cheri Lady Homestay Hue,N/A,N/A,N/A,"Which popular attractions are close to Cheri Lady Homestay Hue?, ,What are some restaurants close to Cheri Lady Homestay Hue?, ",N/A,0,N/A,0,N/A,125,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21420174-Reviews-Cheri_Lady_Homestay_Hue-Hue_Thua_Thien_Hue_Province.html
"273 Nguyen Sinh Cung, Vi Da, Hue Vietnam",10,84,N/A,"English, Spanish, Italian",Ngoc Anh Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Ngoc Anh Guesthouse?, ,What are some restaurants close to Ngoc Anh Guesthouse?, ,Which languages are spoken by the staff at Ngoc Anh Guesthouse?, ",N/A,1,#29 of 31 guest houses in Hue,1,N/A,49,Terrible,10,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d10767722-Reviews-Ngoc_Anh_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"12 Duong Le Hong Son, Hue Vietnam",0,0,N/A,N/A,Win House,N/A,N/A,N/A,"Which popular attractions are close to Win House?, ,What are some restaurants close to Win House?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d18235413-Reviews-Win_House-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Champa Hotel,N/A,N/A,N/A,"What are some of the property amenities at Champa Hotel?, ,Which room amenities are available at Champa Hotel?, ",N/A,0,N/A,0,N/A,0,N/A,36,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3357823-Reviews-Champa_Hotel-Hue_Thua_Thien_Hue_Province.html
Hue 530000 Vietnam,4,70,N/A,N/A,MyFa House,N/A,N/A,N/A,"Which popular attractions are close to MyFa House?, ,What are some restaurants close to MyFa House?, ",N/A,0,N/A,0,N/A,17,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21334210-Reviews-MyFa_House-Hue_Thua_Thien_Hue_Province.html
"21 Ton Duc Thang, Hue Vietnam",6,82,N/A,N/A,Cuc Bang An Hotel,N/A,N/A,N/A,"Which popular attractions are close to Cuc Bang An Hotel?, ,What are some of the property amenities at Cuc Bang An Hotel?, ,What food & drink options are available at Cuc Bang An Hotel?, ,What are some restaurants close to Cuc Bang An Hotel?, ",N/A,0,N/A,0,N/A,31,N/A,28,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3222686-Reviews-Cuc_Bang_An_Hotel-Hue_Thua_Thien_Hue_Province.html
"7 Kiet 10 Vo Thi Sau-Phu, Hue 52000 Vietnam",27,92,N/A,N/A,5.T Hostel,N/A,N/A,N/A,"Which popular attractions are close to 5.T Hostel?, ,What are some restaurants close to 5.T Hostel?, ",N/A,0,N/A,0,N/A,154,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21400471-Reviews-5_T_Hostel-Hue_Thua_Thien_Hue_Province.html
"180 Pham Van Dong, Hue Vietnam",2,40,N/A,"English, Vietnamese",Nhu Hien 2 Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Nhu Hien 2 Guesthouse?, ,What are some of the property amenities at Nhu Hien 2 Guesthouse?, ,Which room amenities are available at Nhu Hien 2 Guesthouse?, ,What are some restaurants close to Nhu Hien 2 Guesthouse?, ,Which languages are spoken by the staff at Nhu Hien 2 Guesthouse?, ",N/A,0,N/A,0,N/A,18,N/A,8,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d8816249-Reviews-Nhu_Hien_2_Guesthouse-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Nina Sweet Homestay,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21355565-Reviews-Nina_Sweet_Homestay-Hue_Thua_Thien_Hue_Province.html
"So 2 Kiet 5 Doi Cung, Hue Vietnam",31,99,N/A,N/A,VM House,N/A,N/A,N/A,"Which popular attractions are close to VM House?, ,What are some restaurants close to VM House?, ,Is VM House located near the city center?, ",N/A,0,N/A,0,N/A,174,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23215448-Reviews-VM_House-Hue_Thua_Thien_Hue_Province.html
"Thich Nu Dieu Khong 31, Hue Vietnam",0,0,N/A,"English, Vietnamese",Misa Tran Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Misa Tran Guesthouse?, ,What are some of the property amenities at Misa Tran Guesthouse?, ,Which room amenities are available at Misa Tran Guesthouse?, ,What food & drink options are available at Misa Tran Guesthouse?, ,Is parking available at Misa Tran Guesthouse?, ,What are some restaurants close to Misa Tran Guesthouse?, ,Does Misa Tran Guesthouse have an airport shuttle?, ,Does Misa Tran Guesthouse have airport transportation?, ,Are any cleaning services offered at Misa Tran Guesthouse?, ,Are pets allowed at Misa Tran Guesthouse?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d13470463-Reviews-Misa_Tran_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"30 Mai Kh_c Don Phu_ng Kim Long, TP. Hu_, Hue Vietnam",5,46,N/A,N/A,Tram Homestay,N/A,N/A,N/A,"Which popular attractions are close to Tram Homestay?, ,What are some restaurants close to Tram Homestay?, ",N/A,0,N/A,0,N/A,27,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23394981-Reviews-Tram_Homestay-Hue_Thua_Thien_Hue_Province.html
"Nha 16, Ki_t 79 Minh M_ng, Hue 49000 Vietnam",115,42,N/A,N/A,Cat Homestay,N/A,N/A,N/A,"Which popular attractions are close to Cat Homestay?, ,What are some restaurants close to Cat Homestay?, ",N/A,0,N/A,0,N/A,467,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23357130-Reviews-Cat_Homestay-Hue_Thua_Thien_Hue_Province.html
"2 Nguyen Phuc Nguyen Street, Kim Long Ward, Hue 53000 Vietnam",5,61,N/A,N/A,Dai Binh Hotel,N/A,N/A,N/A,"Which popular attractions are close to Dai Binh Hotel?, ,What are some restaurants close to Dai Binh Hotel?, ",N/A,0,N/A,0,N/A,19,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d11986089-Reviews-Dai_Binh_Hotel-Hue_Thua_Thien_Hue_Province.html
"37 Nguyen Hoang, Hue Vietnam",5,60,N/A,N/A,The Cau Garden House,N/A,N/A,N/A,"Which popular attractions are close to The Cau Garden House?, ,What are some restaurants close to The Cau Garden House?, ",N/A,0,N/A,0,N/A,19,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21304182-Reviews-The_Cau_Garden_House-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Moon Homestay - Hue City,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23433043-Reviews-Moon_Homestay_Hue_City-Hue_Thua_Thien_Hue_Province.html
"25 Hung Vuong St, Hue Vietnam",14,93,N/A,N/A,Gem Hotel,N/A,N/A,N/A,"Which popular attractions are close to Gem Hotel?, ,What are some of the property amenities at Gem Hotel?, ,What food & drink options are available at Gem Hotel?, ,Is parking available at Gem Hotel?, ,What are some restaurants close to Gem Hotel?, ,Is Gem Hotel located near the city center?, ",N/A,0,N/A,0,N/A,109,N/A,12,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d3225937-Reviews-Gem_Hotel-Hue_Thua_Thien_Hue_Province.html
"58 Pham Van Dong, Hue Vietnam",26,92,N/A,N/A,Hoang Hai Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Hoang Hai Guesthouse?, ,What are some of the property amenities at Hoang Hai Guesthouse?, ,Is parking available at Hoang Hai Guesthouse?, ,What are some restaurants close to Hoang Hai Guesthouse?, ,Does Hoang Hai Guesthouse have airport transportation?, ,Are any cleaning services offered at Hoang Hai Guesthouse?, ",N/A,0,N/A,0,N/A,161,N/A,7,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d6856770-Reviews-Hoang_Hai_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"18 Pham Van Dong 18, Hue Vietnam",2,48,N/A,N/A,Rolex Hotel,N/A,N/A,N/A,"Which popular attractions are close to Rolex Hotel?, ,What are some restaurants close to Rolex Hotel?, ",N/A,0,N/A,0,N/A,24,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d17518973-Reviews-Rolex_Hotel-Hue_Thua_Thien_Hue_Province.html
"65 To Huu, Hue Vietnam",22,56,N/A,N/A,"Kirakuan Luxury 2 BR, 5m Center",N/A,N/A,N/A,"Which popular attractions are close to Kirakuan Luxury 2 BR, 5m Center?, ,What are some restaurants close to Kirakuan Luxury 2 BR, 5m Center?, ",N/A,0,N/A,0,N/A,119,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21329683-Reviews-Kirakuan_Luxury_2_BR_5m_Center-Hue_Thua_Thien_Hue_Province.html
"203 An Duong Vuong St, Hue Vietnam",115,40,N/A,"English, Vietnamese",Thanh Tam 203 Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Thanh Tam 203 Guesthouse?, ,What are some of the property amenities at Thanh Tam 203 Guesthouse?, ,Is parking available at Thanh Tam 203 Guesthouse?, ,What are some restaurants close to Thanh Tam 203 Guesthouse?, ,Does Thanh Tam 203 Guesthouse have airport transportation?, ,Which languages are spoken by the staff at Thanh Tam 203 Guesthouse?, ",N/A,0,N/A,0,N/A,467,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12420816-Reviews-Thanh_Tam_203_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"23 Hai Ba Trung, Hue Vietnam",7,89,N/A,Vietnamese,Huong Vy 3 Hotel,N/A,N/A,N/A,"Which popular attractions are close to Huong Vy 3 Hotel?, ,Is parking available at Huong Vy 3 Hotel?, ,What are some restaurants close to Huong Vy 3 Hotel?, ,Is Huong Vy 3 Hotel located near the city center?, ",N/A,0,N/A,0,N/A,36,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7649877-Reviews-Huong_Vy_3_Hotel-Hue_Thua_Thien_Hue_Province.html
"510 Lac Long Quan Street, Lang Co Town, Hue Vietnam",1,42,N/A,N/A,Sen Hotel Lang Co,N/A,N/A,N/A,"Which popular attractions are close to Sen Hotel Lang Co?, ,What are some of the property amenities at Sen Hotel Lang Co?, ,What food & drink options are available at Sen Hotel Lang Co?, ,Is parking available at Sen Hotel Lang Co?, ,What are some restaurants close to Sen Hotel Lang Co?, ,Does Sen Hotel Lang Co have an airport shuttle?, ,Does Sen Hotel Lang Co have airport transportation?, ",N/A,0,N/A,0,N/A,10,N/A,31,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12195731-Reviews-Sen_Hotel_Lang_Co-Hue_Thua_Thien_Hue_Province.html
"84 - 86, Street 2, An Dong, Hue Vietnam",0,41,N/A,"English, French, Vietnamese",TMT Villa Hue,N/A,N/A,N/A,"What are some of the property amenities at TMT Villa Hue?, ,What food & drink options are available at TMT Villa Hue?, ,Is parking available at TMT Villa Hue?, ,What are some restaurants close to TMT Villa Hue?, ,Does TMT Villa Hue have an airport shuttle?, ,Does TMT Villa Hue have airport transportation?, ,Does TMT Villa Hue offer any business services?, ,Which languages are spoken by the staff at TMT Villa Hue?, ",N/A,1,#4 of 4 B&Bs in Hue,2,3,12,Poor,10,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d12974931-Reviews-TMT_Villa_Hue-Hue_Thua_Thien_Hue_Province.html
"135 Nguyen Sinh Cung, Hue Vietnam",1,62,N/A,"English, French, Russian, Spanish",Hoa Binh Hotel Hue,N/A,N/A,N/A,"Which popular attractions are close to Hoa Binh Hotel Hue?, ,What are some of the property amenities at Hoa Binh Hotel Hue?, ,Which room amenities are available at Hoa Binh Hotel Hue?, ,What food & drink options are available at Hoa Binh Hotel Hue?, ,Is parking available at Hoa Binh Hotel Hue?, ,What are some restaurants close to Hoa Binh Hotel Hue?, ,Does Hoa Binh Hotel Hue have airport transportation?, ,Which languages are spoken by the staff at Hoa Binh Hotel Hue?, ",N/A,0,N/A,0,N/A,12,N/A,21,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d8324036-Reviews-Hoa_Binh_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Camellia Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23207691-Reviews-Camellia_Hotel-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Luckystars Hotels,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,8,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21294352-Reviews-Luckystars_Hotels-Hue_Thua_Thien_Hue_Province.html
"Nguyen Thai Hoc 19/7 Phu Hoi Ward, Hue 530000 Vietnam",27,92,N/A,N/A,Sapphire Hotel Hue,N/A,N/A,N/A,"Which popular attractions are close to Sapphire Hotel Hue?, ,What are some restaurants close to Sapphire Hotel Hue?, ",N/A,0,N/A,0,N/A,166,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d23257539-Reviews-Sapphire_Hotel_Hue-Hue_Thua_Thien_Hue_Province.html
"2 Phan Van Truong, Vy Da, Hue Vietnam",18,53,N/A,Vietnamese,Hoang Anh Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Hoang Anh Guesthouse?, ,Which room amenities are available at Hoang Anh Guesthouse?, ,What are some restaurants close to Hoang Anh Guesthouse?, ",N/A,0,N/A,0,N/A,105,N/A,10,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d7617552-Reviews-Hoang_Anh_Guesthouse-Hue_Thua_Thien_Hue_Province.html
"31/56 Nguyen Cong Tru, Hue 530000 Vietnam",27,92,N/A,N/A,Quynh's Hostel,N/A,N/A,N/A,"Which popular attractions are close to Quynh's Hostel?, ,What are some of the property amenities at Quynh's Hostel?, ,What food & drink options are available at Quynh's Hostel?, ,Is parking available at Quynh's Hostel?, ,What are some restaurants close to Quynh's Hostel?, ,Does Quynh's Hostel have an airport shuttle?, ,Does Quynh's Hostel have airport transportation?, ",N/A,0,N/A,0,N/A,151,N/A,4,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d14167088-Reviews-Quynh_s_Hostel-Hue_Thua_Thien_Hue_Province.html
"1/5 Le Hong Phong, Hue Vietnam",6,80,N/A,"English, Croatian, Vietnamese",Thanh Hien Guesthouse,N/A,N/A,N/A,"Which popular attractions are close to Thanh Hien Guesthouse?, ,What are some of the property amenities at Thanh Hien Guesthouse?, ,Which room amenities are available at Thanh Hien Guesthouse?, ,What are some restaurants close to Thanh Hien Guesthouse?, ,Does Thanh Hien Guesthouse have an airport shuttle?, ,Does Thanh Hien Guesthouse have airport transportation?, ,Which languages are spoken by the staff at Thanh Hien Guesthouse?, ",N/A,0,N/A,0,N/A,28,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d9465390-Reviews-Thanh_Hien_Guesthouse-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Clover Home,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21012917-Reviews-Clover_Home-Hue_Thua_Thien_Hue_Province.html
N/A,0,0,N/A,N/A,Valentine Hotel,N/A,N/A,N/A,N/A,N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d22827149-Reviews-Valentine_Hotel-Hue_Thua_Thien_Hue_Province.html
"123 A Ba Trieu, Hue Vietnam",2,81,N/A,N/A,The Dreamers House,N/A,N/A,N/A,"Which popular attractions are close to The Dreamers House?, ,What are some restaurants close to The Dreamers House?, ",N/A,0,N/A,0,N/A,22,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d21398130-Reviews-The_Dreamers_House-Hue_Thua_Thien_Hue_Province.html
"G24 Khu Quy Hoach Lich Doi, Hue Vietnam",0,0,N/A,N/A,Nha nghi Nhu Y,N/A,N/A,N/A,"Which popular attractions are close to Nha nghi Nhu Y?, ,What are some restaurants close to Nha nghi Nhu Y?, ",N/A,0,N/A,0,N/A,0,N/A,0,N/A,0,https://www.tripadvisor.com/Hotel_Review-g293926-d15599965-Reviews-Nha_nghi_Nhu_Y-Hue_Thua_Thien_Hue_Province.html
