HComment,HCommenter,HContribute,HDate,HThanks,HTime,HTravelType,HTravelerRating,h_Hotel_name,h_reviewer_address,h_reviewer_id,h_title_comment,h_url
"đã ở nhiều lần mỗi khi đi Huế nhưng tôi vẫn rất thích ở khách sạn này, khách sạn đẹp , nhân viên nhiệt tình, chu đáo, phòng ngủ sạch sẽ... Nhà hàng ăn sáng rất đẹp, tôi ăn sáng ngay ngoài sân vườn, gần cạnh bể bơi rất thoải mái Nếu trở lại tôi vẫn lựa chọn ở nơi này",Bellawhite-Kate,1,Tháng 3 năm 2018,N/A,thg 4 2018,N/A,5,Khách sạn Mường Thanh Holiday Huế,Đức,https://www.tripadvisor.com.vn/Profile/Bellawhite-Kate,Khách sạn toạ lạc vị trí đẹp,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or75-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Vừa rồi tôi có liên hệ đặt phòng cho đoàn khách bạn tôi. Tôi đã làm việc trực tiếp với chị Thy ở phòng Sales. Ấn tượng của tôi là các chị làm việc rất chuyên nghiệp, nhanh nhẹn, lại có thái độ rất hoà nhã và tận tình hướng dẫn, tư vấn cho chúng tôi. Các bạn tôi cảm thấy rất hài lòng khi nhận phòng và Cho tôi biết họ rất thích khi ở đây. Đội ngũ nhân viên nhiệt tình, chu đáo, dịch vụ rất tốt. Buffet sáng cũng rất phong phú, bài trí đẹp, không gian thoáng đãng, view nhìn sang bể bơi rất đẹp. Tôi thật sự hài lòng khi đã giới thiệu cho các bạn tôi một điểm để dừng chân quá tuyệt vời như thế này. Xin cám ơn các anh chị, hy vọng ks của chúng ta ngày càng phát triển đi lên./.",nthoanhtth,1,Tháng 1 năm 2018,N/A,thg 4 2018,Đã du lịch với bạn bè,5,Khách sạn Mường Thanh Holiday Huế,"Tỉnh Thừa Thiên - Huế, Việt Nam",https://www.tripadvisor.com.vn/Profile/nthoanhtth,Ấn tượng Mường Thanh,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or80-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"toi da tung dat tiec cuoi o muong thanh hue. dich vu rat tot va toi duoc co Thi o sales gioi thieu rat chi tiet, ngoai ra goi y nhieu y tuong hay. toi rat hai long voi dich vu va se gioi thieu ban be den day",Nga N,4,Tháng 11 năm 2017,5,thg 4 2018,Đã du lịch với gia đình,5,Khách sạn Mường Thanh Holiday Huế,america,https://www.tripadvisor.com.vn/Profile/mimilovely1985,"dat tiec cuoi o muong thanh hue, ms thi- sales rat tot",https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or80-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"thức ăn ngon,phòng sạch đẹp thoáng mát,nhân viên thân thiện đặc biệt lễ tân thật duyên dáng và nhiệt tình...khách sạn nằm trong trung tâm thành phố nhưng có thể quan sát được toàn bộ thành phố về đêm trên cao.nằm trong trung tâm nên chỉ cách vài con đường thì bạn đã có thể tận hưởng cảm giác nhộn nhịp bởi những con phố tây,những hàng quán,trái ngược với những con phố nhộn nhịp là một khung cảnh nên thơ và rất Huế nếu bạn đi theo hướng ngược lại...vị thế của khách sạn thật thú vị!",hungkt8972,2,Tháng 11 năm 2017,N/A,thg 11 2017,Đã du lịch với bạn bè,4,Khách sạn Mường Thanh Holiday Huế,"Tokyo, Nhật Bản",https://www.tripadvisor.com.vn/Profile/hungkt8972,"thật thú vị nhờ có mấy cô lễ tân Châu ,Trinh,Anh vui tính và nhiệt tình!",https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or80-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Phòng đẹp, sang trọng, tiện nghi và thoải mái. Nhân viên nhiệt tình thân thiện. Buffet sáng khá đa dạng và vừa miệng. Hồ bơi tuy nhỏ nhưng rất đẹp, không thích phòng thay đồ dưới hồ bơi lắm. Có thể ngắm cảnh sông Hương rất đẹp.",anhphan938,10,Tháng 10 năm 2016,4,thg 8 2017,Đã du lịch với bạn bè,5,Khách sạn Mường Thanh Holiday Huế,"Đà Nẵng, Việt Nam",https://www.tripadvisor.com.vn/Profile/anhphan938,Rất tốt,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or80-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Mường Thanh là một trong những khách sạn đẳng cấp nên mình cũng ko cần đánh giá nhiều, nói chung hài lòng từ A-Z luôn.
Phòng : Phòng sạch sẽ, đẹp, thoáng lắm, nệm nằm rất êm. Toilet nhìn sang trọng, đẳng cấp
Ăn sáng : Ăn sáng đa dạng, nhiều món Âu Á thích hợp cho tất cả mọi người, đặc biệt có món soup Lươn, rất ngon
Vị trí: Vị trí khá đẹp gần trung tâm
Nhân viên: thân thiện hết cỡ, mình hẹn giờ kêu thức dậy rất đúng giờ.",Nghi Huynh,36,Tháng 9 năm 2016,13,thg 5 2017,Đã du lịch với gia đình,4,Khách sạn Mường Thanh Holiday Huế,Hà Lan,https://www.tripadvisor.com.vn/Profile/NghiHuynh084,Tốt,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or80-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"thức ăn ngon, phòng đầy đủ tiện nghi, không gian đẹp thoáng mát, nhìn được hết thành phố huế. nhân viên phục vụ thân thiện, vui vẻ, nhiệt tình .... giá cả hợp lí phù hợp với nhiều đối tượng khách , có nhiều loại hình dịch vụ khá tốt.",nguyenthile94307,12,Tháng 3 năm 2016,8,thg 12 2016,Đã du lịch với bạn bè,5,Khách sạn Mường Thanh Holiday Huế,"Tỉnh Quảng Nam, Việt Nam",https://www.tripadvisor.com.vn/Profile/nguyenthile94307,không gian đẹp,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or85-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Từ khách sạn có thể đến các khu vực trung tâm : Chợ Đông Ba,siêu thị,bến thuyền,...Ở tầng 8 có phòng nhìn được ra cảnh sông Hương với không gian đẹp và lãng mạn phù hợp cho các cặp đôi hưởng tuần trăng mật",Nga N,4,Tháng 1 năm 2016,5,thg 1 2016,Đã du lịch theo đôi,5,Khách sạn Mường Thanh Holiday Huế,america,https://www.tripadvisor.com.vn/Profile/mimilovely1985,Khách sạn với vị trí thuận tiện và phòng có khung cảnh hướng sông đẹp !,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or85-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Khách sạn với vị trí thuận tiện, dễ dàng tiếp cận với các nhà hàng, và thuận tiện di chuyển tới các cơ quan làm việc. Nhân viên nhiệt tình phòng sạch sẽ và có view rất đẹp. Để hoàn thiện KS cần cải tiến dich vụ ăn sáng phong phú hơn",Hiro_Pham,1,Tháng 10 năm 2015,1,thg 10 2015,Đã du lịch khi công tác,4,Khách sạn Mường Thanh Holiday Huế,"Hà Nội, Việt Nam",https://www.tripadvisor.com.vn/Profile/Hiro_Pham,Khách sạn tốt thuận tiện,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or85-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Khách sạn có vị trí thuận tiện và tầm nhìn đẹp nhất: nhìn rõ sông Hương và cầu Trường Tiền, Phú Xuân mà không bị cản bởi bất cứ tòa nhà nào. Nhân viên khá niềm nở, nội thất trong phòng tương đối hiện đại, còn mới. Tuy nhiên các tiện ích khác như bể bơi, phòng Gym đều chưa đạt chuẩn 4 sao như khách sạn được gắn biển. Ngoài ra, bữa sáng khá đơn điệu, cách bài trí nhà hàng thiếu thẩm mỹ. Tóm lại, nếu đi chơi thăm quan cả ngày, thỉnh thoảng về khách sạn nghỉ ngơi, mở cửa sổ ngắm cảnh sông Hương (từ tầng 6 trở lên mới có tầm nhìn rõ), thì nơi đây là lựa chọn tốt nhất.",dangquang,8144,Tháng 8 năm 2015,1774,thg 8 2015,Đã du lịch với gia đình,4,Khách sạn Mường Thanh Holiday Huế,"Hà Nội, Việt Nam",https://www.tripadvisor.com.vn/Profile/ngdangquang,"Vị trí thuận tiện, phòng sạch đẹp",https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or85-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Khách sạn ở ngay mặt tiền đường Lê Lợi, chỉ cách sông Hương một con đường. Từ các phòng trên tầng cao có thể dễ dàng ngắm cầu Trường Tiền, cầu Phú Xuân và cột cờ Hoàng Thành. Nội thật khách sạn khá tốt, phù hợp với tiêu chuẩn 3 sao.",dangquang,8144,Tháng 6 năm 2014,1774,thg 1 2015,Đã du lịch khi công tác,4,Khách sạn Mường Thanh Holiday Huế,"Hà Nội, Việt Nam",https://www.tripadvisor.com.vn/Profile/ngdangquang,Ngắm cảnh đẹp từ cửa sổ,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or85-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Một tài sản tuyệt vời; nhìn từ phòng nhìn ra sông là nổi bật! Giường rất thoải mái, máy lạnh hoạt động tốt, phòng rộng và sạch sẽ với tủ lạnh minibar. Bữa sáng tự chọn là tuyệt vời, với các dịch vụ cho thị hiếu phương Tây và châu Á và một trạm phở / trứng.
Khách sạn nằm ở ngoại ô của một khu du lịch với nhiều nhà hàng và quán bar, cuộc sống về đêm. A Coffee Coffee được đính kèm và các hiệu thuốc, minimarts, và giặt là gần đó. Trên khắp Lê Lợi ia là một công viên rất sạch sẽ và dễ chịu, và thành phố và Thành cổ nằm trong một khoảng cách đi bộ dài.

Tôi sẽ tranh luận với việc xem xét phàn nàn về tường kính phòng tắm, kích thước ly nước trái cây, v.v., và buộc tội tài sản này của vinh quang mờ nhạt. Đây chỉ là những ngụy biện. Là một người đã đi du lịch khắp Phils, Campuchia, Việt Nam và Campuchia (vào tuần thứ hai của chuyến đi thứ 12 trong 20 tuần của tôi), tôi sẽ đặt khách sạn này lên hàng đầu trong số nhiều điểm tôi đã ở, ngoại trừ các điểm đến sang trọng thực sự . Đây là lựa chọn của tôi để trở lại Hu.",SEAsiaVeteran,238,Tháng 1 năm 2020,117,thg 1 2020,Đã du lịch theo đôi,5,Khách sạn Mường Thanh Holiday Huế,"Grantham, New Hampshire",https://www.tripadvisor.com.vn/Profile/SEAsiaVeteran,Rất khuyến khích,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or90-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi đã ở Huế trong thời tiết đẹp. Có khoảng 18 oC. Tôi đã tận hưởng kỳ nghỉ của tôi tại Mường Thanh Huế với phòng lớn, tiện nghi và dịch vụ. Các phòng nhìn ra ngoài đối diện với sông Hương. Khách sạn nằm ở trung tâm và dễ dàng đi bộ đến căng thẳng trong 10 phút đi bộ. Rất khuyến khích cho một khách sạn 4 * ngân sách trong thị trấn",Tam L,66,Tháng 12 năm 2019,68,thg 12 2019,Đã du lịch với bạn bè,4,Khách sạn Mường Thanh Holiday Huế,"Thành phố Hồ Chí Minh, Việt Nam",https://www.tripadvisor.com.vn/Profile/Sightseer282622,Ở lại có thể tận hưởng,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or90-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Đây là một khách sạn cũ với rất nhiều hình ảnh lịch sử của các cung điện, đền thờ và hoàng gia mà chúng tôi thấy thú vị.

Vị trí này rất tuyệt vời, rất gần với dòng sông và cây cầu rất đáng yêu để đi bộ và trao cho tòa thành nằm ngay bên kia cây cầu.

Ở trong một khu phố sầm uất với rất nhiều câu lạc bộ, chúng tôi thấy khá ồn ào vào ban đêm, và có rất ít cách âm giữa các phòng hoặc từ bên ngoài nên chúng tôi bị làm phiền bởi tiếng ồn giao thông và khách từ tiệc cưới, nhưng đó không thực sự là lỗi của khách sạn. Du khách thích đêm yên tĩnh có thể làm tốt hơn ở nơi khác.

Cánh cửa ban công của chúng tôi không đóng đúng cách nhưng khi chúng tôi báo cáo với lễ tân, họ đã cử một quản gia đến kiểm tra ngay lập tức và nó đã được sửa trong vòng 30 phút nên chúng tôi rất hài lòng với câu trả lời. Nhân viên rất thân thiện và tốt bụng. Điều này đã giúp phần nào với tiếng ồn giao thông nhưng nó vẫn rất dễ nghe. Bộ điều khiển điều hòa không khí trên trần nhà cho ánh sáng rất mạnh mà không tắt, chúng tôi đã làm mờ nó bằng một chiếc tất treo.

Khách sạn nói chung và phòng rất sạch sẽ. Trong phòng ăn sáng, các món ăn từ trái cây sẽ được hưởng lợi từ việc được bao phủ vì đến cuối xi-rô đang thu hút kiến và ruồi từ cửa ban công mở. Có một lựa chọn trái cây tươi trong tủ lạnh gần đó, vì vậy tôi nghĩ rằng đây là một sự giám sát chứ không phải là một sai sót trong vệ sinh.",Laura C,12,Tháng 11 năm 2019,26,thg 11 2019,Đã du lịch theo đôi,4,Khách sạn Mường Thanh Holiday Huế,"Liverpool, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/R7590OWlaurac,Một khách sạn cũ có lịch sử,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d1488735-Reviews-or90-Muong_Thanh_Holiday_Hue_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html
"Khách sạn giống như 1 cung điện thu nhỏ, nhìn rất luxury. Phòng hiện đại, thoáng đãng. Nhân viên lịch sự, chu đáo, nhiệt tình. Đồ ăn sáng rất ngon. Tất cả mọi dịch vụ đều hoàn hảo. Highly recommend!!!",Phúc Anh H,3,Tháng 8 năm 2018,6,thg 10 2018,N/A,5,Eldora Hotel,N/A,https://www.tripadvisor.com.vn/Profile/ph_canhh,Execelent hotel and services!!!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html
"khách sạn nằm ngay trung tâm, nội thất đẹp sang trọng, nhân viên nhiệt tình, thân thiện. thích nhất ăn sáng và hồ bơi ở đây. sân rộng có thể đỗ xe thoải mái mặc dù gần trung tâm, gần cầu tràng tiền, vincom.",nguyenlich,10,Tháng 8 năm 2018,4,thg 9 2018,N/A,5,Eldora Hotel,"Hội An, Việt Nam",https://www.tripadvisor.com.vn/Profile/nguyenlich,khách sạn đẹp,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html
"Rất hài lòng với cách phục vụ của nhân viên ở đây, rất nhiệt tình và thân thiện, phòng rất sạch sẽ, bể bơi trong nhà nên tắm giờ nào cũng đc, không sợ nắng của mùa hè làm hư da. Sẽ quay lại nếu có dịp đến Huế, đã giới thiệu cho người quen nếu đi du lịch sẽ ở khách sạn này.",quynhvy7182,1,Tháng 9 năm 2018,1,thg 9 2018,N/A,5,Eldora Hotel,"Thành phố Hồ Chí Minh, Việt Nam",https://www.tripadvisor.com.vn/Profile/quynhvy7182,Rất hài lòng,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html
"Tôi đã ở lại khách sạn trong một chuyến công tác. Nhân viên phục vụ ở đây rất thân thiện, nhiệt tình. Phòng ốc thì cực kỳ mới, sạch, đẹp và được trang trí theo lối kiến trúc cung đình. Giá phòng khoảng 1000k 1 đêm.",Katie,30,Tháng 3 năm 2017,9,thg 9 2017,N/A,5,Eldora Hotel,N/A,https://www.tripadvisor.com.vn/Profile/katiematter,Tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html
"Nhìn chung đây cũng là khách sạn 4 sao thuộc top của thành phố huế. phòng ốc sạch sẽ, sang trọng. Nhân viên tận tình chu đáo. Đều giá có vẻ còn cao so với mặt bằng chung.Sẽ giới thiệu đến những người than khi chon khách sạn ở huế",Binhyenthang8,4,Tháng 5 năm 2017,1,thg 7 2017,N/A,4,Eldora Hotel,N/A,https://www.tripadvisor.com.vn/Profile/Binhyenthang8,Khá ổn,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html
"tôi có chuyến đi du lịch 3 ngày 2 đêm ở huế. và vợ tôi đã booking phòng ở đây. Gía có vẻ hơi cao nhưng chất lượng phục vụ rất tốt, nội thất vô cùng sang trọng. chúng tôi thực sự đã có những trải nghiệm tuyệt vời tại đây! view rất đẹp!",PhongHill,4,Tháng 7 năm 2016,7,thg 6 2017,Đã du lịch theo đôi,5,Eldora Hotel,"Huế, Việt Nam",https://www.tripadvisor.com.vn/Profile/PhongHill,Tuyệt vời!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or5-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi có chuyến đi đến Huế trong 2 ngày. Và tôi chọn ks Eldora làm nơi nghi chân. Khách sạn có đội ngũ nhân viên thân thiện, phục vụ chu đáo, phòng ốc sạch sẽ đẹp đẽ, đồ ăn ngon tuyệt. Cảm ơn tôi sẽ còn đến đây.",Kenneth6082,29,Tháng 5 năm 2017,15,thg 5 2017,Đã du lịch theo đôi,4,Eldora Hotel,"Huế, Việt Nam",https://www.tripadvisor.com.vn/Profile/Kenneth6082,Tuyet vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or5-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi đã đặt cho nhóm của mình 2 phòng tại khách sạn Eldora. Khi hoàn thành chuyến đi và hỏi ý kiến của bạn mình. Thật ngạc nhiên tất thảy mọi người đều cảm thấy rất hài lòng về khách sạn. Khách sạn sạch sẽ, sang trọng. Phòng ngủ và phòng tắm có view tốt. Tuy giá phòng có hơi cao, nhưng rất xứng đáng.
XIn cám ơn khách sạn Eldora đã cho tôi những trải nghiệm tuyệt vời khi đến Huế",Umbala2811,6,Tháng 11 năm 2015,10,thg 2 2016,Đã du lịch với bạn bè,5,Eldora Hotel,Hoa Kỳ,https://www.tripadvisor.com.vn/Profile/Umbala2811,Khách sạn tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or5-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Qua lời giới thiệu của bạn bè tôi chọn eldora cho kì nghỉ lễ của mình.tôi ở lại trong 2 đêm,phòng quá đẹp theo phong cách cổ điển,giá tốt,ăn sáng tuyệt vời,nhân viên thân thiện,đặc biệt tôi ấn tượng với nhân viên BÁ HẢI đã giúp đỡ chúng tôi rất nhiều .1 kì nghỉ tuyệt vời.tôi sẽ trở lại đây nếu tôi tới huế",nguyenlich,10,Tháng 4 năm 2015,4,thg 5 2015,Đã du lịch với gia đình,5,Eldora Hotel,"Hội An, Việt Nam",https://www.tripadvisor.com.vn/Profile/nguyenlich,kì nghỉ tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or5-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Ban đầu tôi chọn ks này vì gần trung tâm và giá cả mềm . Phòng rất đẹp, decor theo phong cách Tây Âu cổ điển , trong khi hầu hết ks tại Huế đều có cách decor ""sến"". Buffet sáng nhiều món và ngon miệng, tiếp tân và nhân viên thân thiện . Tôi rất thích khách sạn này.",Ngoduykhiem,1,Tháng 9 năm 2014,10,thg 9 2014,Đã du lịch một mình,5,Eldora Hotel,N/A,https://www.tripadvisor.com.vn/Profile/Ngoduykhiem,Tôi rất thích khách sạn này,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or5-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Tôi thật sự rất thích ở tại khách sạn Eldora. Nó nằm trong khoảng cách dễ dàng của nhiều điểm đến. Căn phòng rộng, sạch sẽ và vô cùng thoải mái. Nó có mọi thứ tôi cần thực phẩm và dịch vụ trong nhà hàng và quán bar là tuyệt vời. Có hồ bơi trong nhà trên mái nhà trông rất sang trọng. Tôi thực sự ấn tượng với các nhân viên, họ rất thân thiện. Tôi chắc chắn sẽ trở lại.",Tabitha B,3,Tháng 1 năm 2020,1,thg 3 2020,N/A,5,Eldora Hotel,N/A,https://www.tripadvisor.com.vn/Profile/tabithab356,Nói chung là tốt!,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or10-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Được đặt bởi Tour 1 Gate của chúng tôi, căn phòng được bổ nhiệm đặc biệt, rộng và trong tình trạng rất tốt, xuất hiện mới được sửa sang lại. Hướng dẫn viên của chúng tôi đã loại bỏ tất cả các khách sạn mà chúng tôi ở, khách sạn này có ""Phòng công chúa"". Phòng tắm rộng với một khu vực nhà vệ sinh riêng biệt. Cả khu vực nhà vệ sinh và tường phòng tắm bên cạnh phòng ngủ đều có tấm kính. Rèm có thể được kéo để riêng tư cho bức tường phòng ngủ và lối vào phòng tắm. Rất thoải mái và sang trọng, chúng tôi ở tầng 8 trong phòng # 8804. Không gian công cộng được thiết kế đẹp mắt. Các thành viên trong nhóm của chúng tôi đã gặp gỡ để giải khát và uống cocktail trong khu vực quầy bar / sảnh thanh lịch, nơi dịch vụ này rất chuyên nghiệp và hoàn hảo. Bữa sáng tự chọn rất phong phú và ngon miệng, được phục vụ trong nhà hàng xinh xắn. Vị trí tuyệt vời và cơ sở ấn tượng. Rất khuyến khích!",Kim G,3134,Tháng 3 năm 2019,257,thg 2 2020,N/A,5,Eldora Hotel,"Pacific Grove, California",https://www.tripadvisor.com.vn/Profile/KimGTravels,Xuất sắc về thiết kế; Nhân viên và bữa sáng tự chọn,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or10-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Đã ở 2 đêm (trong một căn phòng sang trọng) trên Roundtrip Việt Nam của chúng tôi. Chúng tôi hoàn toàn thích nơi ở của chúng tôi, vì thực tế là ban đầu tôi không muốn ở đây (thấy người cung cấp không phải là sở thích của tôi và quá phũ phàng và một số nhà phê bình cũng đưa tôi ra. Về bồn tắm nhựa bị trầy xước mà ai đó phàn nàn - vâng, nó bị trầy xước nặng nhưng vì chúng tôi không sử dụng bồn tắm nên nó không làm phiền chúng tôi và nó có thể đã bị hư hại bởi nước cực nóng). Họ cảnh báo chúng tôi rằng nước rất nóng và nó thực sự RẤT nóng. Chúng tôi đến ngay trước khi nhà hàng đóng cửa nhưng họ đủ tử tế để vẫn phục vụ chúng tôi. Vị trí tốt, thức ăn ngon, nhân viên dễ chịu, phòng xinh xắn. Vì vậy, chúng tôi rất thích ở lại của chúng tôi và không có khiếu nại.",Judy H,98,Tháng 2 năm 2020,75,thg 2 2020,N/A,4,Eldora Hotel,"Zug, Thụy Sỹ",https://www.tripadvisor.com.vn/Profile/judyh848,2 đêm,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or10-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
Chúng tôi ở hai đêm trong một phòng nhìn ra sông. Dòng sông có thể nhìn thấy từ xa. Phòng của chúng tôi rất rộng rãi với một phòng tắm tuyệt vời. Bồn ngâm là một điều trị. Chiếc áo mưa cũng thật đáng yêu. Chúng tôi thưởng thức một bữa ăn sáng tự chọn tuyệt vời. Các hồ bơi trên sân thượng là lớn và hoàn hảo cho vòng bơi.,foodylu,53,Tháng 10 năm 2019,52,thg 11 2019,N/A,5,Eldora Hotel,"Riegelsville, Pennsylvania:",https://www.tripadvisor.com.vn/Profile/foodylu,Khách sạn xinh xắn với phòng rộng và hồ bơi tuyệt vời,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or10-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Chúng tôi ở lại đây 1 đêm trong tour du lịch Việt Nam. Chúng tôi dự định ở lại 2 nhưng chuyến bay của chúng tôi đã bị hủy và chúng tôi đến rất sớm vào sáng hôm sau - mặc dù điều này các nhân viên đã sẵn sàng và tổ chức bữa sáng cho chúng tôi. Căn phòng thật đáng yêu - thực sự rộng rãi với tầm nhìn tuyệt vời ra thành phố. Cửa sổ từ phòng tắm vào phòng ngủ là một cảm giác kỳ quặc và bồn tắm đó - hoàn toàn tuyệt đẹp! Các nhân viên khách sạn cực kỳ thân thiện và lịch sự, và hồ bơi trong nhà rất hoành tráng và đáng yêu - chúng tôi rất thích ngâm mình vào một buổi chiều! Bữa sáng rất phong phú - kiểu tự chọn với cả hai lựa chọn phương Tây và châu Á. Đó là vị trí rất trung tâm để khám phá vì vậy ở một vị trí khá lý tưởng.",2412rachaelr,12,Tháng 9 năm 2019,27,thg 9 2019,N/A,5,Eldora Hotel,"Plymouth, Vương quốc Anh",https://www.tripadvisor.com.vn/Profile/2412rachaelr,Khách sạn đẹp với sự quyến rũ của thế giới cũ,https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or10-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
"Khách sạn là khá mát mẻ cho giá. Vị trí cũng rất tốt. Trang trí rất lớn, nhưng nơi này cảm thấy một chút chạy xuống. Tbh, bữa sáng khá tệ, nhưng với cái giá mà chúng tôi đã trả, tôi có thể phàn nàn quá nhiều. Nó được 4 sao vì căn phòng rất lớn và có một phòng tắm lớn. Nếu đó là phòng đối với căn phòng thì nó sẽ có 3 sao vì bữa sáng tồi tệ.",Euan,22,Tháng 9 năm 2019,23,thg 9 2019,Đã du lịch theo đôi,4,Eldora Hotel,N/A,https://www.tripadvisor.com.vn/Profile/euangm,"Khách sạn bình dân, nhưng rất lớn",https://www.tripadvisor.com.vn/Hotel_Review-g293926-d6416461-Reviews-or15-Eldora_Hotel-Hue_Thua_Thien_Hue_Province.html#REVIEWS
